ENTRY_TYPE,GUID,LOCALE,ENTRY_NAME,PARENT_ENTRY_ID,FIELD1,FIELD2,FIELD3,FIELD4,FIELD5,FIELD6,ACTIVITY,ACTIVE,EDITABLE
LACatalog,9001,en_US,"Learning Activity",,,,,,,,,,
LearningActivity,9269,en_US,"Eliminate organizational barriers to innovation. Remove policy barriers that might get in the way of establishing an innovative environment.",9001,"Eliminate organizational barriers to innovation. Remove policy barriers that might get in the way of establishing an innovative environment.",,,,,,"ACT",1,1
LearningActivity,9007,en_US,"Consult stakeholders. Get input from people who will help implement the decision. Don't accept second-hand reports. Go right to the source.",9001,"Consult stakeholders. Get input from people who will help implement the decision. Don't accept second-hand reports. Go right to the source.",,,,,,"ACT",1,1
LearningActivity,9175,en_US,"Be open to suggestions. Keep an open door and an open mind to employee suggestions for improving quality. Encourage ideas from all employees no matter what their title or experience.",9001,"Be open to suggestions. Keep an open door and an open mind to employee suggestions for improving quality. Encourage ideas from all employees no matter what their title or experience.",,,,,,"ACT",1,1
LearningActivity,9239,en_US,"Know what information is important. Have a clear idea of what information to include in your reports. Take notes after information requests and review them when you are writing reports.",9001,"Know what information is important. Have a clear idea of what information to include in your reports. Take notes after information requests and review them when you are writing reports.",,,,,,"ACT",1,1
LearningActivity,9027,en_US,"Tune into the network. Use your informal contacts in other departments and organizations to stay ahead of new developments. Develop new contacts in business areas in which you've had difficulty keeping up-to-date.",9001,"Tune into the network. Use your informal contacts in other departments and organizations to stay ahead of new developments. Develop new contacts in business areas in which you've had difficulty keeping up-to-date.",,,,,,"ACT",1,1
LearningActivity,9038,en_US,"Delegate and rearrange responsibilities. Delegate more responsibility to team members, and focus your attention on project coordination. Shift tasks within the team to make the best use of skills and interests.",9001,"Delegate and rearrange responsibilities. Delegate more responsibility to team members, and focus your attention on project coordination. Shift tasks within the team to make the best use of skills and interests.",,,,,,"ACT",1,1
LearningActivity,9041,en_US,"Give more authority. Give individuals the chance to take on work outside their strict job descriptions. Look for tasks at the edge of their abilities.",9001,"Give more authority. Give individuals the chance to take on work outside their strict job descriptions. Look for tasks at the edge of their abilities.",,,,,,"ACT",1,1
LearningActivity,9141,en_US,"Set measurable quality standards for all work. Look at other departments and organizations to get ideas for setting and measuring quality standards. Pick the ones that have been tested over time for user friendliness and overall effectiveness.",9001,"Set measurable quality standards for all work. Look at other departments and organizations to get ideas for setting and measuring quality standards. Pick the ones that have been tested over time for user friendliness and overall effectiveness.",,,,,,"ACT",1,1
LearningActivity,9044,en_US,"Keep your team on top. Keep track of formal training sessions, seminars, conferences, and other similar events. Sign your people up on a regular basis.",9001,"Keep your team on top. Keep track of formal training sessions, seminars, conferences, and other similar events. Sign your people up on a regular basis.",,,,,,"ACT",1,1
LearningActivity,9267,en_US,"Create the job you want. Be on the lookout for opportunities to use and expand the skills you enjoy using the most. If you see a new project that fits the bill, ask to be assigned to it.",9001,"Create the job you want. Be on the lookout for opportunities to use and expand the skills you enjoy using the most. If you see a new project that fits the bill, ask to be assigned to it.",,,,,,"ACT",1,1
LearningActivity,9272,en_US,"Get in a problem-solving mode. Take the following steps to maintain a positive, win-win atmosphere to negotiations.a) Listen actively. Maintain eye contact, use body language, and paraphrase other's statements to show that you're listening and truly understanding their interests.b) Ask direct questions about interests. Use tell me more about probes to get more information about the primary needs or problems the other side is trying to solve.c) Summarize areas of agreement, then address the top few disagreements. Let people talk out their hesitations before moving ahead.d) Make sure both sides clearly understand the disagreements, then take the initiative to propose alternative solutions.e) Once agreement is reached, summarize the benefits for both sides so that everyone has some positive feelings about the deal.",9001,"Get in a problem-solving mode. Take the following steps to maintain a positive, win-win atmosphere to negotiations.a) Listen actively. Maintain eye contact, use body language, and paraphrase other's statements to show that you're listening and truly understanding their interests.b) Ask direct questions about interests. Use tell me more about probes to get more information about the primary needs or problems the other side is trying to solve.c) Summarize areas of agreement, then address the top few disagreements. Let people talk out their hesitations before moving ahead.d) Make sure both sides clearly understand the disagreements, then take the initiative to propose alternative solutions.e) Once agreement is reached, summarize the benefits for both sides so that everyone has some positive feelings about the deal.",,,,,,"ACT",1,1
LearningActivity,9172,en_US,"Ask others to observe your behavior. Ask others to observe your behavior with the objective of giving you feedback about your strengths and weaknesses in a given area.",9001,"Ask others to observe your behavior. Ask others to observe your behavior with the objective of giving you feedback about your strengths and weaknesses in a given area.",,,,,,"ACT",1,1
LearningActivity,9208,en_US,"Solicit ideas from the team. Encourage ongoing comments and suggestions on project procedures. Implement the best suggestions to demonstrate the value of team input.",9001,"Solicit ideas from the team. Encourage ongoing comments and suggestions on project procedures. Implement the best suggestions to demonstrate the value of team input.",,,,,,"ACT",1,1
LearningActivity,9023,en_US,"Organize a company social or volunteer activity. Plan an event for the whole organization. Get people from different departments to work on the event committee.",9001,"Organize a company social or volunteer activity. Plan an event for the whole organization. Get people from different departments to work on the event committee.",,,,,,"ACT",1,1
LearningActivity,9217,en_US,"Be consistent about priorities. Try to set and stick to priorities, and avoid the temptation to fight fires as they flare up. When you have to change priorities, explain the reasoning clearly to the team.",9001,"Be consistent about priorities. Try to set and stick to priorities, and avoid the temptation to fight fires as they flare up. When you have to change priorities, explain the reasoning clearly to the team.",,,,,,"ACT",1,1
LearningActivity,9011,en_US,"Increase customer contact. If [EmployeeName] has little direct contact with your company's customers, find a way to get him out there. Learning more about customer needs may give [EmployeeName] some new insight on what the company's vision really means at the customer level.",9001,"Increase customer contact. If [EmployeeName] has little direct contact with your company's customers, find a way to get him out there. Learning more about customer needs may give [EmployeeName] some new insight on what the company's vision really means at the customer level.",,,,,,"ACT",1,1
LearningActivity,9263,en_US,"Ask questions about your performance. In order to create a positive environment in the meeting, look at what you have done with [EmployeeName] to date. Answer the following questions as candidly as you can: a) Did you set clear sales goals with [EmployeeName]?b) Are [EmployeeName]'s sales data valid, complete, and current?c) Have you been monitoring [EmployeeName]'s sales performance and discussing it with him on a regular basis? d) Have you been consistent in identifying deficiencies, communicating these to him and working with him to resolve them?e) Have you determined if there are mitigating circumstances?",9001,"Ask questions about your performance. In order to create a positive environment in the meeting, look at what you have done with [EmployeeName] to date. Answer the following questions as candidly as you can: a) Did you set clear sales goals with [EmployeeName]?b) Are [EmployeeName]'s sales data valid, complete, and current?c) Have you been monitoring [EmployeeName]'s sales performance and discussing it with him on a regular basis? d) Have you been consistent in identifying deficiencies, communicating these to him and working with him to resolve them?e) Have you determined if there are mitigating circumstances?",,,,,,"ACT",1,1
LearningActivity,9047,en_US,"Prioritize development. We all receive feedback from many sources, so it's important to sort through it all and prioritize. Keep a list of the areas in which you'd like to improve (or been asked to improve). Periodically review the list with your manager and co-workers to make sure you focus on key issues.",9001,"Prioritize development. We all receive feedback from many sources, so it's important to sort through it all and prioritize. Keep a list of the areas in which you'd like to improve (or been asked to improve). Periodically review the list with your manager and co-workers to make sure you focus on key issues.",,,,,,"ACT",1,1
LearningActivity,9237,en_US,"Keep it focused. Focus the agenda on the main goal you've defined for the meeting. Make it a priority to reach that goal before handling other issues in the meeting.",9001,"Keep it focused. Focus the agenda on the main goal you've defined for the meeting. Make it a priority to reach that goal before handling other issues in the meeting.",,,,,,"ACT",1,1
