label_key,default,ar_SA,en_DEBUG,en_GB,en_US,es_ES,fr_FR,pt_BR,tr_TR,zh_CN
SecPDI,en_US,,"IDP - Individual Development Plan",,"IDP - Individual Development Plan","IDP - Plan Individual de Desarrollo","IDP - Plan de développement individuel","PDI - Plano de Desenvolvimento Individual","IDP - Bireysel Gelişim Planı",
SecAvaliacao,en_US,,"Assessment",,"Assessment","Evaluación","Évaluation","Avaliação","Değerlendirme",
IntroPDI,en_US,,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>To build IDP actions, consider:<br>
- Analysis of the evaluation made, focusing on the strong points and those to be strengthened,<br>
- Needs of development for the present position and future positions,<br>
- Give preference to feasible, clear actions which may be carried out and that are challenging.<br><br>
(Minimum of 2 IDP goals are required)
<script>
 function alteraLabels(idTable, x){
  var vetorLabelRating = new Array(), 
  qtdElementos = document.getElementById(idTable).getElementsByTagName('span').length,
 
  y = 0,
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
  
   if (labelRating != """"){
    vetorLabelRating[y] = labelRating,
    y++,
   }
  }
 
  stringValidacao = """",
 
  for (i = 0, i < y, i++){
   if ((y - 1) == i)
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""'""
   else
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""' || ""
  }
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
 
   if (eval(stringValidacao)){
    if (labelRating == ""Unrated""){
  document.getElementById(idTable).getElementsByTagName('span')[i].id = ""spanUnrated_"" + x,
  TituloRadio = document.getElementById(idTable).getElementsByTagName('span')[11].getElementsByTagName('input')[0].title,
  document.getElementById(""spanUnrated_"" + x).title = TituloRadio,
  document.getElementById(""spanUnrated_"" + x).innerHTML = TituloRadio,
 }
 else{
  document.getElementById(idTable).getElementsByTagName('span')[i].innerHTML = labelRating,
 }
    
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  
   if (document.getElementById(idTable).getElementsByTagName('span')[i].getElementsByTagName('input').length > 0){
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  }
 }
 
 for (x = 0, x < document.getElementsByTagName('table').length, x++){
  if (document.getElementsByTagName('table')[x].id == ""tbl""){
   document.getElementsByTagName('table')[x].id = ""tbl_"" + x,
   alteraLabels(""tbl_"" + x, x),
  }
 }
</script>",,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>To build IDP actions, consider:<br>
- Analysis of the evaluation made, focusing on the strong points and those to be strengthened,<br>
- Needs of development for the present position and future positions,<br>
- Give preference to feasible, clear actions which may be carried out and that are challenging.<br><br>
(Minimum of 2 IDP goals are required)
<script>
 function alteraLabels(idTable, x){
  var vetorLabelRating = new Array(), 
  qtdElementos = document.getElementById(idTable).getElementsByTagName('span').length,
 
  y = 0,
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
  
   if (labelRating != """"){
    vetorLabelRating[y] = labelRating,
    y++,
   }
  }
 
  stringValidacao = """",
 
  for (i = 0, i < y, i++){
   if ((y - 1) == i)
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""'""
   else
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""' || ""
  }
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
 
   if (eval(stringValidacao)){
    if (labelRating == ""Unrated""){
  document.getElementById(idTable).getElementsByTagName('span')[i].id = ""spanUnrated_"" + x,
  TituloRadio = document.getElementById(idTable).getElementsByTagName('span')[11].getElementsByTagName('input')[0].title,
  document.getElementById(""spanUnrated_"" + x).title = TituloRadio,
  document.getElementById(""spanUnrated_"" + x).innerHTML = TituloRadio,
 }
 else{
  document.getElementById(idTable).getElementsByTagName('span')[i].innerHTML = labelRating,
 }
    
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  
   if (document.getElementById(idTable).getElementsByTagName('span')[i].getElementsByTagName('input').length > 0){
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  }
 }
 
 for (x = 0, x < document.getElementsByTagName('table').length, x++){
  if (document.getElementsByTagName('table')[x].id == ""tbl""){
   document.getElementsByTagName('table')[x].id = ""tbl_"" + x,
   alteraLabels(""tbl_"" + x, x),
  }
 }
</script>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Para construir las acciones IDP considere lo siguiente:<br>
- El análisis de la evaluación efectuada, enfocando las creencias  que tiene más desarrolladas y las que precisan ser fortalecidas,<br>
- La necesidades de desarrollo en el puesto actual y para los puestos futuros,<br>
- De preferencia a las acciones factibles y claras que puedan ser ejecutadas y que sean desafiantes.<br><br>
(Se exige un mínimo de 2 metas IDP)
<script>
 function alteraLabels(idTable, x){
  var vetorLabelRating = new Array(), 
  qtdElementos = document.getElementById(idTable).getElementsByTagName('span').length,
 
  y = 0,
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
  
   if (labelRating != """"){
    vetorLabelRating[y] = labelRating,
    y++,
   }
  }
 
  stringValidacao = """",
 
  for (i = 0, i < y, i++){
   if ((y - 1) == i)
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""'""
   else
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""' || ""
  }
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
 
   if (eval(stringValidacao)){
    if (labelRating == ""Unrated""){
  document.getElementById(idTable).getElementsByTagName('span')[i].id = ""spanUnrated_"" + x,
  TituloRadio = document.getElementById(idTable).getElementsByTagName('span')[11].getElementsByTagName('input')[0].title,
  document.getElementById(""spanUnrated_"" + x).title = TituloRadio,
  document.getElementById(""spanUnrated_"" + x).innerHTML = TituloRadio,
 }
 else{
  document.getElementById(idTable).getElementsByTagName('span')[i].innerHTML = labelRating,
 }
    
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  
   if (document.getElementById(idTable).getElementsByTagName('span')[i].getElementsByTagName('input').length > 0){
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  }
 }
 
 for (x = 0, x < document.getElementsByTagName('table').length, x++){
  if (document.getElementsByTagName('table')[x].id == ""tbl""){
   document.getElementsByTagName('table')[x].id = ""tbl_"" + x,
   alteraLabels(""tbl_"" + x, x),
  }
 }
</script>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
Pour construire des actions PDI, considérer:<br>
- l'Analyse de l'évaluation faite, en se concentrant aux croyances fortes et celles à être renforcées,<br>
- Les besoins de développement pour la situation actuelle et les positions futures,<br>
- Donner la préférence à des actions claires, réalisables qui peuvent être réalisées et qui sont difficiles.<br><br>
(Minimum de 2 objectifs IDP objectifs sont requis)
<script>
 function alteraLabels(idTable, x){
  var vetorLabelRating = new Array(), 
  qtdElementos = document.getElementById(idTable).getElementsByTagName('span').length,
 
  y = 0,
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
  
   if (labelRating != """"){
    vetorLabelRating[y] = labelRating,
    y++,
   }
  }
 
  stringValidacao = """",
 
  for (i = 0, i < y, i++){
   if ((y - 1) == i)
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""'""
   else
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""' || ""
  }
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
 
   if (eval(stringValidacao)){
    if (labelRating == ""Unrated""){
  document.getElementById(idTable).getElementsByTagName('span')[i].id = ""spanUnrated_"" + x,
  TituloRadio = document.getElementById(idTable).getElementsByTagName('span')[11].getElementsByTagName('input')[0].title,
  document.getElementById(""spanUnrated_"" + x).title = TituloRadio,
  document.getElementById(""spanUnrated_"" + x).innerHTML = TituloRadio,
 }
 else{
  document.getElementById(idTable).getElementsByTagName('span')[i].innerHTML = labelRating,
 }
    
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  
   if (document.getElementById(idTable).getElementsByTagName('span')[i].getElementsByTagName('input').length > 0){
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  }
 }
 
 for (x = 0, x < document.getElementsByTagName('table').length, x++){
  if (document.getElementsByTagName('table')[x].id == ""tbl""){
   document.getElementsByTagName('table')[x].id = ""tbl_"" + x,
   alteraLabels(""tbl_"" + x, x),
  }
 }
</script>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style> 
Para construir ações de PDI, considerar:<br>
- Análise sobre a avaliação feita, focando nos pontos fortes e a fortalecer,<br>
- Necessidades de desenvolvimento para posição atual e posições futuras,<br>
- Dê preferência para ações claras, possíveis de serem realizadas e desafiadoras.
<script>
 function alteraLabels(idTable, x){
  var vetorLabelRating = new Array(), 
  qtdElementos = document.getElementById(idTable).getElementsByTagName('span').length,
 
  y = 0,
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
  
   if (labelRating != """"){
    vetorLabelRating[y] = labelRating,
    y++,
   }
  }
 
  stringValidacao = """",
 
  for (i = 0, i < y, i++){
   if ((y - 1) == i)
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""'""
   else
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""' || ""
  }
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
 
   if (eval(stringValidacao)){
    if (labelRating == ""Unrated""){
  document.getElementById(idTable).getElementsByTagName('span')[i].id = ""spanUnrated_"" + x,
  TituloRadio = document.getElementById(idTable).getElementsByTagName('span')[11].getElementsByTagName('input')[0].title,
  document.getElementById(""spanUnrated_"" + x).title = TituloRadio,
  document.getElementById(""spanUnrated_"" + x).innerHTML = TituloRadio,
 }
 else{
  document.getElementById(idTable).getElementsByTagName('span')[i].innerHTML = labelRating,
 }
    
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  
   if (document.getElementById(idTable).getElementsByTagName('span')[i].getElementsByTagName('input').length > 0){
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  }
 }
 
 for (x = 0, x < document.getElementsByTagName('table').length, x++){
  if (document.getElementsByTagName('table')[x].id == ""tbl""){
   document.getElementsByTagName('table')[x].id = ""tbl_"" + x,
   alteraLabels(""tbl_"" + x, x),
  }
 }
</script>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
IDP eylemleri inşa etmek için, şunları dikkate alın:<br>
- Yapılan değerlendirmeyi analiz etme, güçlü ve güçlendirilmesi gereken düşünceler üzerinde odaklanma,<br>
- Mevcut durum ve gelecekteki konum için gelişim ihtiyacı,<br>
- Gerçekleştirilmesi mümkün ve ilgi çekici makul ve açık eylemlere öncelik verme.<br><br>
(En az 2 IDP hedefi gereklidir)
<script>
 function alteraLabels(idTable, x){
  var vetorLabelRating = new Array(), 
  qtdElementos = document.getElementById(idTable).getElementsByTagName('span').length,
 
  y = 0,
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
  
   if (labelRating != """"){
    vetorLabelRating[y] = labelRating,
    y++,
   }
  }
 
  stringValidacao = """",
 
  for (i = 0, i < y, i++){
   if ((y - 1) == i)
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""'""
   else
    stringValidacao += ""labelRating == '"" + vetorLabelRating[i] + ""' || ""
  }
 
  for (i = 0, i < qtdElementos, i++){
   labelRating = document.getElementById(idTable).getElementsByTagName('span')[i].title,
 
   if (eval(stringValidacao)){
    if (labelRating == ""Unrated""){
  document.getElementById(idTable).getElementsByTagName('span')[i].id = ""spanUnrated_"" + x,
  TituloRadio = document.getElementById(idTable).getElementsByTagName('span')[11].getElementsByTagName('input')[0].title,
  document.getElementById(""spanUnrated_"" + x).title = TituloRadio,
  document.getElementById(""spanUnrated_"" + x).innerHTML = TituloRadio,
 }
 else{
  document.getElementById(idTable).getElementsByTagName('span')[i].innerHTML = labelRating,
 }
    
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  
   if (document.getElementById(idTable).getElementsByTagName('span')[i].getElementsByTagName('input').length > 0){
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.textAlign = ""center"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.width = ""100px"",
    document.getElementById(idTable).getElementsByTagName('span')[i].parentNode.style.padding = ""0px"",
   }
  }
 }
 
 for (x = 0, x < document.getElementsByTagName('table').length, x++){
  if (document.getElementsByTagName('table')[x].id == ""tbl""){
   document.getElementsByTagName('table')[x].id = ""tbl_"" + x,
   alteraLabels(""tbl_"" + x, x),
  }
 }
</script>",
IntroResumoPM,en_US,,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style> Check here your consolidated evaluation",,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style> Check here your consolidated evaluation",,,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style> Confira aqui sua avaliação consolidada",,
CampoComentarioGestor,en_US,"ملاحظات المدير","Manager Comments",,"Manager Comments","Comentarios del Supervisor","Commentaires du Manager","Comentários do Gestor","Yönetici Yorumları","经理意见"
IntroJobPerformance,en_US,,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
<table align=center>
          <tr>
          <td>
<img src=https://performancemanager4.successfactors.com/Votorantim/img_horizontal_axis_EN.jpg align=center>
</tr>
</table>
<br><br>",,"<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
<table align=center>
          <tr>
          <td>
<img src=https://performancemanager4.successfactors.com/Votorantim/img_horizontal_axis_EN.jpg align=center>
</tr>
</table>
<br><br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
<table align=center>
          <tr>
          <td>
<img src=https://performancemanager4.successfactors.com/Votorantim/img_horizontal_axis_ES.jpg align=center>
</tr>
</table>
<br><br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
<table align=center>
          <tr>
          <td>
<img src=https://performancemanager4.successfactors.com/Votorantim/img_horizontal_axis_FR.jpg align=center>
</tr>
</table>
<br><br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
<table align=center>
          <tr>
          <td>
<img src=https://performancemanager4.successfactors.com/Votorantim/img_horizontal_axis_PT.jpg align=center>
</tr>
</table>
<br><br>","<style>.tableHeaderBar td{background-color: #2B5D78 !important,}.tableHeaderLabelAlt td{background-color: #00C0F2 !important,padding: 5px 0px 0px 5px,}.tableHeaderLabelAlt td a{background-color: #00C0F2 !important,color: #365E28 !important,}.tableHeaderLabelAlt td h3{color: #FFF,}.tableHeaderBar{font-size: 17px !important,color: #FFF !important,padding: 5px 0px 0px 5px,}</style>
<table align=center>
          <tr>
          <td>
<img src=https://performancemanager4.successfactors.com/Votorantim/img_horizontal_axis_TR.jpg align=center>
</tr>
</table>
<br><br>",
SecRaters,en_US,,"Rater List",,"Rater List","Lista de Calificación","Liste du évaluateur","Lista de Avaliadores","Değerlendirici Listesi",
RatingMetas,en_US,"الإنجاز المستوى","Achievement (Level)",,"Achievement (Level)","Logro (nivel)","Réalisation (Niveau)","Pontuação Final (Nível)","Başarı (Seviye)","完成值（等级）"
SecMetas,en_US,"الأهداف التشغيلية و الفردية","Operational and Individual Goals",,"Operational and Individual Goals","Metas Operativas e Individuales","Objectifs opérationnels et individuels","Metas - Bloco Operacional","Operasyonel ve Bireysel Hedefleri","经营目标和个人目标"
SecResumo,en_US,"الملخص","Summary",,"Summary","Resumen","Résumé","Resumo","Özet","Summary"
