^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,pt_BR,es_ES
"ISOCountryList,41,-1.0,-1.0,-1.0,ACTIVE,""AFG"",-1,""Afghanistan"",,"
"ISOCountryList,42,-1.0,-1.0,-1.0,ACTIVE,""ALB"",-1,""Albania"",,"
"ISOCountryList,43,-1.0,-1.0,-1.0,ACTIVE,""DZA"",-1,""Algeria"",,"
"ISOCountryList,44,-1.0,-1.0,-1.0,ACTIVE,""ASM"",-1,""American Samoa"",,"
"ISOCountryList,45,-1.0,-1.0,-1.0,ACTIVE,""AND"",-1,""Andorra"",,"
"ISOCountryList,46,-1.0,-1.0,-1.0,ACTIVE,""AGO"",-1,""Angola"",,"
"ISOCountryList,47,-1.0,-1.0,-1.0,ACTIVE,""AIA"",-1,""Anguilla"",,"
"ISOCountryList,48,-1.0,-1.0,-1.0,ACTIVE,""ATA"",-1,""Antarctica"",,"
"ISOCountryList,49,-1.0,-1.0,-1.0,ACTIVE,""ATG"",-1,""Antigua and Barbuda"",,"
"ISOCountryList,50,-1.0,-1.0,-1.0,ACTIVE,""ARG"",-1,""Argentina"",,"
"ISOCountryList,51,-1.0,-1.0,-1.0,ACTIVE,""ARM"",-1,""Armenia"",,"
"ISOCountryList,52,-1.0,-1.0,-1.0,ACTIVE,""ABW"",-1,""Aruba"",,"
"ISOCountryList,53,-1.0,-1.0,-1.0,ACTIVE,""AUS"",-1,""Australia"",,"
"ISOCountryList,54,-1.0,-1.0,-1.0,ACTIVE,""AUT"",-1,""Austria"",,"
"ISOCountryList,55,-1.0,-1.0,-1.0,ACTIVE,""AZE"",-1,""Azerbaijan"",,"
"ISOCountryList,56,-1.0,-1.0,-1.0,ACTIVE,""BHS"",-1,""Bahamas"",,"
"ISOCountryList,57,-1.0,-1.0,-1.0,ACTIVE,""BHR"",-1,""Bahrain"",,"
"ISOCountryList,58,-1.0,-1.0,-1.0,ACTIVE,""BGD"",-1,""Bangladesh"",,"
"ISOCountryList,59,-1.0,-1.0,-1.0,ACTIVE,""BRB"",-1,""Barbados"",,"
"ISOCountryList,60,-1.0,-1.0,-1.0,ACTIVE,""BLR"",-1,""Belarus"",,"
"ISOCountryList,61,-1.0,-1.0,-1.0,ACTIVE,""BEL"",-1,""Belgium"",,"
"ISOCountryList,62,-1.0,-1.0,-1.0,ACTIVE,""BLZ"",-1,""Belize"",,"
"ISOCountryList,63,-1.0,-1.0,-1.0,ACTIVE,""BEN"",-1,""Benin"",,"
"ISOCountryList,64,-1.0,-1.0,-1.0,ACTIVE,""BMU"",-1,""Bermuda"",,"
"ISOCountryList,65,-1.0,-1.0,-1.0,ACTIVE,""BTN"",-1,""Bhutan"",,"
"ISOCountryList,66,-1.0,-1.0,-1.0,ACTIVE,""BOL"",-1,""Bolivia, Plurinational State of"",,"
"ISOCountryList,67,-1.0,-1.0,-1.0,ACTIVE,""BIH"",-1,""Bosnia and Herzegovina"",,"
"ISOCountryList,68,-1.0,-1.0,-1.0,ACTIVE,""BWA"",-1,""Botswana"",,"
"ISOCountryList,69,-1.0,-1.0,-1.0,ACTIVE,""BVT"",-1,""Bouvet Island"",,"
"ISOCountryList,70,-1.0,-1.0,-1.0,ACTIVE,""BRA"",-1,""Brazil"",,"
"ISOCountryList,71,-1.0,-1.0,-1.0,ACTIVE,""IOT"",-1,""British Indian Ocean Territory"",,"
"ISOCountryList,72,-1.0,-1.0,-1.0,ACTIVE,""BRN"",-1,""Brunei Darussalam"",,"
"ISOCountryList,73,-1.0,-1.0,-1.0,ACTIVE,""BGR"",-1,""Bulgaria"",,"
"ISOCountryList,74,-1.0,-1.0,-1.0,ACTIVE,""BFA"",-1,""Burkina Faso"",,"
"ISOCountryList,75,-1.0,-1.0,-1.0,ACTIVE,""BDI"",-1,""Burundi"",,"
"ISOCountryList,76,-1.0,-1.0,-1.0,ACTIVE,""KHM"",-1,""Cambodia"",,"
"ISOCountryList,77,-1.0,-1.0,-1.0,ACTIVE,""CMR"",-1,""Cameroon"",,"
"ISOCountryList,78,-1.0,-1.0,-1.0,ACTIVE,""CAN"",-1,""Canada"",,"
"ISOCountryList,79,-1.0,-1.0,-1.0,ACTIVE,""CPV"",-1,""Cape Verde"",,"
"ISOCountryList,80,-1.0,-1.0,-1.0,ACTIVE,""CYM"",-1,""Cayman Islands"",,"
"ISOCountryList,81,-1.0,-1.0,-1.0,ACTIVE,""CAF"",-1,""Central African Republic"",,"
"ISOCountryList,82,-1.0,-1.0,-1.0,ACTIVE,""TCD"",-1,""Chad"",,"
"ISOCountryList,83,-1.0,-1.0,-1.0,ACTIVE,""CHL"",-1,""Chile"",,"
"ISOCountryList,84,-1.0,-1.0,-1.0,ACTIVE,""CHN"",-1,""China"",,"
"ISOCountryList,85,-1.0,-1.0,-1.0,ACTIVE,""CXR"",-1,""Christmas Island"",,"
"ISOCountryList,86,-1.0,-1.0,-1.0,ACTIVE,""CCK"",-1,""Cocos (Keeling) Islands"",,"
"ISOCountryList,87,-1.0,-1.0,-1.0,ACTIVE,""COL"",-1,""Colombia"",,"
"ISOCountryList,88,-1.0,-1.0,-1.0,ACTIVE,""COM"",-1,""Comoros"",,"
"ISOCountryList,89,-1.0,-1.0,-1.0,ACTIVE,""COG"",-1,""Congo"",,"
