^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,zh_CN,en_GB,tr_TR,en_DEBUG,pt_BR,es_ES,fr_FR,ar_SA
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"1",,,,"1","1",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2",,,,"2","2",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"3",,,,"3","3",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"4",,,,"4","4",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"5",,,,"5","5",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"6",,,,"6","6",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"7",,,,"7","7",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"8",,,,"8","8",,,
9box,,-1.0,-1.0,-1.0,ACTIVE,,-1,"9",,,,"9","9",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2014",,,,"2014","2014",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2015",,,,"2015","2015",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2016",,,,"2016","2016",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2017",,,,"2017","2017",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2018",,,,"2018","2018",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2019",,,,"2019","2019",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2020",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2021",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2022",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2023",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2024",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2025",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2026",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2027",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2028",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2029",,,
anos,,-1.0,-1.0,-1.0,ACTIVE,,-1,"2020",,,,"2020","2030",,,
benchStrength,,-1.0,-1.0,5.0,ACTIVE,,-1,"Emergency Replacement","Emergency Replacement",,"Emergency Replacement","Emergency Replacement","Reposição Emergencial","Emergency Replacement","Emergency Replacement",
benchStrength,,-1.0,-1.0,4.0,ACTIVE,,-1,"Ready Now","Ready Now",,"Ready Now","Ready Now","Prontidão Imediata","Ready Now","Ready Now",
benchStrength,,-1.0,-1.0,1.0,ACTIVE,,-1,"Short Term (up to 2 years)","Short Term (up to 2 years)",,"Short Term (up to 2 years)","Short Term (up to 2 years)","Curto Prazo (Até 2 anos)","Short Term (up to 2 years)","Short Term (up to 2 years)",
benchStrength,,-1.0,-1.0,1.0,ACTIVE,,-1,"Medium Term (2-3 years)","Medium Term (2-3 years)",,"Medium Term (2-3 years)","Medium Term (2-3 years)","Médio Prazo (de 2 a 3 anos)","Medium Term (2-3 years)","Medium Term (2-3 years)",
benchStrength,,-1.0,-1.0,1.0,ACTIVE,,-1,"Long Term (Above 4 years)","Long Term (Above 4 years)",,"Long Term (Above 4 years)","Long Term (Above 4 years)","Longo Prazo (Acima de 4 anos)","Long Term (Above 4 years)","Long Term (Above 4 years)",
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Change Management",,,,"Change Management","Ação Integradora",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"External Orientation",,,,"External Orientation","Ação Integradora",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Integrated Action",,,,"Integrated Action","Conhecimento específico da fun...",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Integrating Action",,,,"Integrating Action","Construção de Relacionamentos",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Operational Management",,,,"Operational Management","Gestão da Operação",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Operations Management",,,,"Operations Management","Gestão da Operação",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"People Management",,,,"People Management","Gestão da Transformação",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Relationship-Building",,,,"Relationship-Building","Gestão da Transformação",,,
competencias,,-1.0,-1.0,-1.0,ACTIVE,,-1,"Self-Management",,,,"Self-Management","Gestão de Pessoas",,,
