^picklistId,OptionId,minValue,maxValue,value,status,external_code,parentOptionId,en_US,en_DEBUG,pt_BR,es_ES
ISOCountryList,41,-1,-1,-1,ACTIVE,AFG,-1,Afghanistan,,,
ISOCountryList,42,-1,-1,-1,ACTIVE,ALB,-1,Albania,,,
ISOCountryList,43,-1,-1,-1,ACTIVE,DZA,-1,Algeria,,,
ISOCountryList,44,-1,-1,-1,ACTIVE,ASM,-1,American Samoa,,,
ISOCountryList,45,-1,-1,-1,ACTIVE,AND,-1,Andorra,,,
ISOCountryList,46,-1,-1,-1,ACTIVE,AGO,-1,Angola,,,
ISOCountryList,47,-1,-1,-1,ACTIVE,AIA,-1,Anguilla,,,
ISOCountryList,48,-1,-1,-1,ACTIVE,ATA,-1,Antarctica,,,
ISOCountryList,49,-1,-1,-1,ACTIVE,ATG,-1,Antigua and Barbuda,,,
ISOCountryList,50,-1,-1,-1,ACTIVE,ARG,-1,Argentina,,,
ISOCountryList,51,-1,-1,-1,ACTIVE,ARM,-1,Armenia,,,
ISOCountryList,52,-1,-1,-1,ACTIVE,ABW,-1,Aruba,,,
ISOCountryList,53,-1,-1,-1,ACTIVE,AUS,-1,Australia,,,
ISOCountryList,54,-1,-1,-1,ACTIVE,AUT,-1,Austria,,,
ISOCountryList,55,-1,-1,-1,ACTIVE,AZE,-1,Azerbaijan,,,
ISOCountryList,56,-1,-1,-1,ACTIVE,BHS,-1,Bahamas,,,
ISOCountryList,57,-1,-1,-1,ACTIVE,BHR,-1,Bahrain,,,
ISOCountryList,58,-1,-1,-1,ACTIVE,BGD,-1,Bangladesh,,,
ISOCountryList,59,-1,-1,-1,ACTIVE,BRB,-1,Barbados,,,
ISOCountryList,60,-1,-1,-1,ACTIVE,BLR,-1,Belarus,,,
ISOCountryList,61,-1,-1,-1,ACTIVE,BEL,-1,Belgium,,,
ISOCountryList,62,-1,-1,-1,ACTIVE,BLZ,-1,Belize,,,
ISOCountryList,63,-1,-1,-1,ACTIVE,BEN,-1,Benin,,,
ISOCountryList,64,-1,-1,-1,ACTIVE,BMU,-1,Bermuda,,,
ISOCountryList,65,-1,-1,-1,ACTIVE,BTN,-1,Bhutan,,,
ISOCountryList,66,-1,-1,-1,ACTIVE,BOL,-1,"Bolivia, Plurinational State of",,,
ISOCountryList,67,-1,-1,-1,ACTIVE,BIH,-1,Bosnia and Herzegovina,,,
ISOCountryList,68,-1,-1,-1,ACTIVE,BWA,-1,Botswana,,,
ISOCountryList,69,-1,-1,-1,ACTIVE,BVT,-1,Bouvet Island,,,
ISOCountryList,70,-1,-1,-1,ACTIVE,BRA,-1,Brazil,,,
ISOCountryList,71,-1,-1,-1,ACTIVE,IOT,-1,British Indian Ocean Territory,,,
ISOCountryList,72,-1,-1,-1,ACTIVE,BRN,-1,Brunei Darussalam,,,
ISOCountryList,73,-1,-1,-1,ACTIVE,BGR,-1,Bulgaria,,,
ISOCountryList,74,-1,-1,-1,ACTIVE,BFA,-1,Burkina Faso,,,
ISOCountryList,75,-1,-1,-1,ACTIVE,BDI,-1,Burundi,,,
ISOCountryList,76,-1,-1,-1,ACTIVE,KHM,-1,Cambodia,,,
ISOCountryList,77,-1,-1,-1,ACTIVE,CMR,-1,Cameroon,,,
ISOCountryList,78,-1,-1,-1,ACTIVE,CAN,-1,Canada,,,
ISOCountryList,79,-1,-1,-1,ACTIVE,CPV,-1,Cape Verde,,,
ISOCountryList,80,-1,-1,-1,ACTIVE,CYM,-1,Cayman Islands,,,
ISOCountryList,81,-1,-1,-1,ACTIVE,CAF,-1,Central African Republic,,,
ISOCountryList,82,-1,-1,-1,ACTIVE,TCD,-1,Chad,,,
ISOCountryList,83,-1,-1,-1,ACTIVE,CHL,-1,Chile,,,
ISOCountryList,84,-1,-1,-1,ACTIVE,CHN,-1,China,,,
ISOCountryList,85,-1,-1,-1,ACTIVE,CXR,-1,Christmas Island,,,
ISOCountryList,86,-1,-1,-1,ACTIVE,CCK,-1,Cocos (Keeling) Islands,,,
ISOCountryList,87,-1,-1,-1,ACTIVE,COL,-1,Colombia,,,
ISOCountryList,88,-1,-1,-1,ACTIVE,COM,-1,Comoros,,,
ISOCountryList,89,-1,-1,-1,ACTIVE,COG,-1,Congo,,,
ISOCountryList,90,-1,-1,-1,ACTIVE,COD,-1,"Congo, the Democratic Republic of the",,,
ISOCountryList,91,-1,-1,-1,ACTIVE,COK,-1,Cook Islands,,,
ISOCountryList,92,-1,-1,-1,ACTIVE,CRI,-1,Costa Rica,,,
ISOCountryList,93,-1,-1,-1,ACTIVE,HRV,-1,Croatia,,,
ISOCountryList,94,-1,-1,-1,ACTIVE,CUB,-1,Cuba,,,
ISOCountryList,95,-1,-1,-1,ACTIVE,CYP,-1,Cyprus,,,
ISOCountryList,96,-1,-1,-1,ACTIVE,CZE,-1,Czech Republic,,,
ISOCountryList,97,-1,-1,-1,ACTIVE,CIV,-1,Côte d'Ivoire,,,
ISOCountryList,98,-1,-1,-1,ACTIVE,DNK,-1,Denmark,,,
ISOCountryList,99,-1,-1,-1,ACTIVE,DJI,-1,Djibouti,,,
ISOCountryList,100,-1,-1,-1,ACTIVE,DMA,-1,Dominica,,,
ISOCountryList,101,-1,-1,-1,ACTIVE,DOM,-1,Dominican Republic,,,
ISOCountryList,102,-1,-1,-1,ACTIVE,ECU,-1,Ecuador,,,
ISOCountryList,103,-1,-1,-1,ACTIVE,EGY,-1,Egypt,,,
ISOCountryList,104,-1,-1,-1,ACTIVE,SLV,-1,El Salvador,,,
ISOCountryList,105,-1,-1,-1,ACTIVE,GNQ,-1,Equatorial Guinea,,,
ISOCountryList,106,-1,-1,-1,ACTIVE,ERI,-1,Eritrea,,,
ISOCountryList,107,-1,-1,-1,ACTIVE,EST,-1,Estonia,,,
ISOCountryList,108,-1,-1,-1,ACTIVE,ETH,-1,Ethiopia,,,
ISOCountryList,109,-1,-1,-1,ACTIVE,FLK,-1,Falkland Islands (Malvinas),,,
ISOCountryList,110,-1,-1,-1,ACTIVE,FRO,-1,Faroe Islands,,,
ISOCountryList,111,-1,-1,-1,ACTIVE,FJI,-1,Fiji,,,
ISOCountryList,112,-1,-1,-1,ACTIVE,FIN,-1,Finland,,,
ISOCountryList,113,-1,-1,-1,ACTIVE,FRA,-1,France,,,
ISOCountryList,114,-1,-1,-1,ACTIVE,GUF,-1,French Guiana,,,
ISOCountryList,115,-1,-1,-1,ACTIVE,PYF,-1,French Polynesia,,,
ISOCountryList,116,-1,-1,-1,ACTIVE,ATF,-1,French Southern Territories,,,
ISOCountryList,117,-1,-1,-1,ACTIVE,GAB,-1,Gabon,,,
ISOCountryList,118,-1,-1,-1,ACTIVE,GMB,-1,Gambia,,,
ISOCountryList,119,-1,-1,-1,ACTIVE,GEO,-1,Georgia,,,
ISOCountryList,120,-1,-1,-1,ACTIVE,DEU,-1,Germany,,,
ISOCountryList,121,-1,-1,-1,ACTIVE,GHA,-1,Ghana,,,
ISOCountryList,122,-1,-1,-1,ACTIVE,GIB,-1,Gibraltar,,,
ISOCountryList,123,-1,-1,-1,ACTIVE,GRC,-1,Greece,,,
ISOCountryList,124,-1,-1,-1,ACTIVE,GRL,-1,Greenland,,,
ISOCountryList,125,-1,-1,-1,ACTIVE,GRD,-1,Grenada,,,
ISOCountryList,126,-1,-1,-1,ACTIVE,GLP,-1,Guadeloupe,,,
ISOCountryList,127,-1,-1,-1,ACTIVE,GUM,-1,Guam,,,
ISOCountryList,128,-1,-1,-1,ACTIVE,GTM,-1,Guatemala,,,
ISOCountryList,129,-1,-1,-1,ACTIVE,GGY,-1,Guernsey,,,
ISOCountryList,130,-1,-1,-1,ACTIVE,GIN,-1,Guinea,,,
ISOCountryList,131,-1,-1,-1,ACTIVE,GNB,-1,Guinea-Bissau,,,
ISOCountryList,132,-1,-1,-1,ACTIVE,GUY,-1,Guyana,,,
ISOCountryList,133,-1,-1,-1,ACTIVE,HTI,-1,Haiti,,,
ISOCountryList,134,-1,-1,-1,ACTIVE,HMD,-1,Heard Island and McDonald Islands,,,
ISOCountryList,135,-1,-1,-1,ACTIVE,VAT,-1,Holy See (Vatican City State),,,
ISOCountryList,136,-1,-1,-1,ACTIVE,HND,-1,Honduras,,,
ISOCountryList,137,-1,-1,-1,ACTIVE,HKG,-1,Hong Kong,,,
ISOCountryList,138,-1,-1,-1,ACTIVE,HUN,-1,Hungary,,,
ISOCountryList,139,-1,-1,-1,ACTIVE,ISL,-1,Iceland,,,
ISOCountryList,140,-1,-1,-1,ACTIVE,IND,-1,India,,,
ISOCountryList,141,-1,-1,-1,ACTIVE,IDN,-1,Indonesia,,,
ISOCountryList,142,-1,-1,-1,ACTIVE,IRN,-1,"Iran, Islamic Republic of",,,
ISOCountryList,143,-1,-1,-1,ACTIVE,IRQ,-1,Iraq,,,
ISOCountryList,144,-1,-1,-1,ACTIVE,IRL,-1,Ireland,,,
ISOCountryList,145,-1,-1,-1,ACTIVE,IMN,-1,Isle of Man,,,
ISOCountryList,146,-1,-1,-1,ACTIVE,ISR,-1,Israel,,,
ISOCountryList,147,-1,-1,-1,ACTIVE,ITA,-1,Italy,,,
ISOCountryList,148,-1,-1,-1,ACTIVE,JAM,-1,Jamaica,,,
ISOCountryList,149,-1,-1,-1,ACTIVE,JPN,-1,Japan,,,
ISOCountryList,150,-1,-1,-1,ACTIVE,JEY,-1,Jersey,,,
ISOCountryList,151,-1,-1,-1,ACTIVE,JOR,-1,Jordan,,,
ISOCountryList,152,-1,-1,-1,ACTIVE,KAZ,-1,Kazakhstan,,,
ISOCountryList,153,-1,-1,-1,ACTIVE,KEN,-1,Kenya,,,
ISOCountryList,154,-1,-1,-1,ACTIVE,KIR,-1,Kiribati,,,
ISOCountryList,155,-1,-1,-1,ACTIVE,PRK,-1,"Korea, Democratic People's Republic of",,,
